id;mensaje;fecha;leido
1;Assistant Western Sahara;2019-07-29T19:11:05;false
2;Marketing utilize;2019-07-29T12:02:57;true
3;generate Liaison;2019-07-29T09:49:57;true
4;Chad compress;2019-07-29T01:17:39;true
5;B2C compressing;2019-07-29T04:17:07;false
6;Sleek Plastic Chicken;2019-07-29T14:48:56;false
7;connecting Guadeloupe Towels;2019-07-29T07:18:36;false
8;platforms Auto Loan Account Bedfordshire;2019-07-29T11:39:32;true
9;circuit middleware local area network;2019-07-29T02:16:52;true
10;lime enable;2019-07-29T20:21:16;true
